Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0197,0.4592,0.0939,0.2827,3360.0
Anomalia,-0.0049,0.3282,-0.3101,0.6758,3360.0
Anomalia,0.022,0.2314,-0.1892,-0.4102,3360.0
Anomalia,-0.0388,0.7091,-1.2521,11.2161,2880.0
Anomalia,0.018,1.325,0.1193,3.3295,2880.0
Anomalia,-0.0076,1.5886,0.0915,0.6991,3360.0
Anomalia,0.0174,1.6363,0.0524,0.3096,3360.0
Anomalia,0.0603,1.5211,0.1293,0.7488,3360.0
Anomalia,-0.0009,1.0456,0.0049,0.5972,3360.0
Anomalia,0.0282,0.5744,0.1999,-0.4778,3600.0
Anomalia,-0.0179,0.4347,0.1164,-0.5181,2880.0
Anomalia,0.0102,0.3283,0.1087,-0.7532,2880.0
Anomalia,0.0168,0.6516,0.3679,9.8893,3120.0
Anomalia,0.0063,1.5397,0.071,2.5347,3360.0
Anomalia,0.0295,1.8454,0.0278,0.4623,3360.0
Anomalia,0.0167,1.9634,0.0261,-0.1606,3360.0
Anomalia,0.0036,1.9212,0.033,-0.0547,3360.0
Anomalia,0.0205,1.335,-0.0069,0.5777,3360.0
Anomalia,-0.0025,0.8582,-0.1212,1.2376,3600.0
Anomalia,0.0015,0.5263,-0.0126,0.4559,2880.0
Anomalia,0.0047,0.3358,-0.1592,-0.3277,2880.0
Anomalia,-0.0156,0.5613,-0.7526,9.0123,2880.0
Anomalia,0.0212,0.9694,0.0037,2.6454,3360.0
Anomalia,0.0061,1.1661,0.0388,0.3578,3360.0
Anomalia,0.017,1.1964,0.011,0.0577,3360.0
Anomalia,0.0224,1.1247,0.1034,0.1954,3360.0
Anomalia,0.0015,0.7957,0.0505,0.3355,3360.0
Anomalia,0.0093,0.4722,-0.0153,-0.7128,3360.0
Anomalia,-0.0055,0.3716,-0.0141,-0.237,3360.0
Anomalia,0.0086,0.2615,0.0263,-1.0412,2880.0
Anomalia,-0.0075,0.487,-0.3653,7.1741,2880.0
Anomalia,0.0166,0.9623,0.17,2.6828,2880.0
Anomalia,0.0161,1.181,0.085,0.3768,3360.0
Anomalia,0.016,1.2234,0.0711,-0.018,3360.0
Anomalia,0.0163,1.1764,0.1073,0.209,3360.0
Anomalia,-0.0022,0.8329,0.0042,0.8409,3360.0
Anomalia,0.0092,0.479,-0.1562,-0.0552,3360.0
Anomalia,-0.001,0.3577,-0.1444,-0.4003,2880.0
Anomalia,0.015,0.2599,-0.0565,-0.7665,2880.0
Anomalia,0.0308,0.503,1.3474,10.6029,2880.0
Anomalia,-0.0051,1.2842,0.0213,2.9153,2880.0
Anomalia,0.032,1.5212,-0.0057,0.7045,3360.0
Anomalia,-0.0106,1.6195,0.0353,0.0041,3360.0
Anomalia,0.0003,1.6034,-0.0204,0.0146,3360.0
Anomalia,0.0185,1.0982,0.0085,0.2667,3360.0
Anomalia,-0.0097,0.7334,-0.2232,0.4679,3360.0
Anomalia,0.0189,0.5437,0.086,-0.5318,2880.0
Anomalia,-0.0072,0.3967,-0.1725,-0.1763,2880.0
Anomalia,0.0492,0.6013,1.5829,9.0458,2880.0
Anomalia,-0.0028,1.4985,0.0898,2.8805,2880.0
Anomalia,0.0472,1.8021,0.0298,0.6253,3360.0
Anomalia,-0.0024,1.9113,0.0699,-0.0305,3360.0
Anomalia,-0.0265,1.8958,0.0555,-0.0324,3360.0
Anomalia,0.0205,1.3247,0.0397,0.3401,3360.0
Anomalia,-0.0241,0.8404,-0.1734,0.285,3360.0
Anomalia,0.0232,0.5659,-0.0157,-0.1239,2880.0
Anomalia,0.0022,0.361,-0.1276,-0.5389,2880.0
Anomalia,0.0098,0.3395,0.4068,1.5479,2880.0
Anomalia,-0.0045,0.6419,0.0294,1.7858,2880.0
Anomalia,0.0051,0.7791,0.04,0.3047,3360.0
Anomalia,-0.0053,0.8244,0.0554,-0.2366,3360.0
Anomalia,0.0102,0.8247,-0.0262,-0.313,3360.0
Anomalia,0.0186,0.6088,0.023,0.5336,3360.0
Anomalia,0.009,0.3827,-0.0829,0.3452,3360.0
Anomalia,0.0161,0.2837,0.1243,-0.7122,2880.0
